step_idx,avg_winning,avg_diff,loss_train,avg_score
382000,0.486,0.012,0.0,0.5156
383000,0.499,0.013,0.0,0.52828
384000,0.504,0.009,0.0,0.53378
385000,0.497,0.012,0.0,0.5271
386000,0.494,0.018,0.0,0.52419
387000,0.489,0.016,0.0,0.5184
388000,0.503,0.02,0.0,0.53358
389000,0.505,0.015,0.0,0.53544
390000,0.495,0.012,0.0,0.52495
391000,0.497,0.018,0.0,0.52644
392000,0.512,0.011,0.0,0.54165
393000,0.509,0.011,0.0,0.53825
394000,0.504,0.011,0.0,0.53321
395000,0.501,0.008,0.0,0.53094
396000,0.498,0.007,0.0,0.52852
397000,0.487,0.014,0.0,0.51721
398000,0.498,0.012,0.0,0.529
399000,0.508,0.015,0.0,0.53879
400000,0.495,0.012,0.0,0.52569
401000,0.494,0.009,0.0,0.52503
402000,0.499,0.006,0.0,0.53059
403000,0.505,0.011,0.0,0.53628
404000,0.5,0.013,0.0,0.53089
405000,0.491,0.011,0.0,0.52188
406000,0.49,0.01,0.0,0.52049
407000,0.485,0.012,0.0,0.51524
408000,0.476,0.012,0.0,0.50424
409000,0.493,0.014,0.0,0.52196
410000,0.474,0.012,0.0,0.50277
411000,0.484,0.008,0.0,0.51337
412000,0.496,0.01,0.0,0.52592
413000,0.487,0.006,0.0,0.51654
414000,0.478,0.01,0.0,0.50783
415000,0.493,0.018,0.0,0.52308
416000,0.503,0.01,0.0,0.53334
417000,0.492,0.011,0.0,0.52208
418000,0.493,0.016,0.0,0.52405
419000,0.495,0.011,0.0,0.52589
420000,0.488,0.016,0.0,0.51846
421000,0.495,0.011,0.0,0.52505
422000,0.484,0.016,0.0,0.51339
423000,0.494,0.018,0.0,0.52265
424000,0.477,0.013,0.0,0.50584
425000,0.491,0.016,0.0,0.52003
426000,0.498,0.014,0.0,0.52674
427000,0.492,0.012,0.0,0.52036
428000,0.492,0.015,0.0,0.52122
429000,0.489,0.016,0.0,0.51684
