avg_winning,avg_diff,avg_score,step_idx,loss_train
0.347,0.014,0.37072,442000,0.0
0.355,0.022,0.37886,443000,0.0
0.361,0.027,0.38522,444000,0.0
0.345,0.024,0.36774,445000,0.0
0.347,0.02,0.36885,446000,0.0
0.366,0.028,0.38877,447000,0.0
0.374,0.023,0.39587,448000,0.0
0.393,0.021,0.41518,449000,0.0
0.391,0.022,0.41325,450000,0.0
0.39,0.018,0.41223,451000,0.0
0.386,0.02,0.40889,452000,0.0
0.386,0.019,0.40894,453000,0.0
0.393,0.02,0.41695,454000,0.0
0.394,0.016,0.41569,455000,0.0
0.365,0.022,0.3861,456000,0.0
0.382,0.015,0.40304,457000,0.0
0.361,0.012,0.38237,458000,0.0
0.371,0.017,0.39235,459000,0.0
0.369,0.015,0.38977,460000,0.0
0.364,0.018,0.38424,461000,0.0
0.398,0.018,0.42001,462000,0.0
0.411,0.014,0.43513,463000,0.0
0.4,0.013,0.42503,464000,0.0
0.386,0.02,0.40903,465000,0.0
0.393,0.021,0.41619,466000,0.0
0.397,0.019,0.42058,467000,0.0
0.391,0.018,0.41541,468000,0.0
0.396,0.018,0.42047,469000,0.0
0.384,0.021,0.40776,470000,0.0
0.395,0.026,0.41886,471000,0.0
0.396,0.018,0.42025,472000,0.0
0.379,0.021,0.40302,473000,0.0
0.375,0.021,0.39809,474000,0.0
0.355,0.015,0.37661,475000,0.0
0.366,0.022,0.38984,476000,0.0
0.388,0.023,0.41083,477000,0.0
0.381,0.016,0.40495,478000,0.0
0.398,0.019,0.42148,479000,0.0
0.399,0.016,0.42187,480000,0.0
0.384,0.021,0.40714,481000,0.0
0.385,0.014,0.40885,482000,0.0
0.377,0.012,0.40008,483000,0.0
0.391,0.018,0.41458,484000,0.0
0.39,0.015,0.41483,485000,0.0
0.379,0.014,0.40322,486000,0.0
0.378,0.015,0.4013,487000,0.0
0.401,0.014,0.42311,488000,0.0
0.381,0.016,0.40439,489000,0.0
0.383,0.014,0.40522,490000,0.0
0.393,0.021,0.41592,491000,0.0
0.406,0.018,0.43119,492000,0.0
0.388,0.021,0.41355,493000,0.0
0.407,0.016,0.43338,494000,0.0
0.413,0.016,0.43812,495000,0.0
0.402,0.016,0.42522,496000,0.0
0.406,0.016,0.42991,497000,0.0
0.407,0.016,0.43196,498000,0.0
0.384,0.018,0.40959,499000,0.0
