avg_score,loss_train,avg_diff,step_idx,avg_winning
0.39762,0.0,0.013,419000,0.374
0.39436,0.0,0.015,420000,0.372
0.39527,0.0,0.017,421000,0.372
0.4051,0.0,0.013,422000,0.382
0.38077,0.0,0.016,423000,0.358
0.38632,0.0,0.017,424000,0.363
0.3886,0.0,0.018,425000,0.365
0.37384,0.0,0.022,426000,0.353
0.40001,0.0,0.015,427000,0.377
0.38506,0.0,0.018,428000,0.363
0.38793,0.0,0.017,429000,0.365
0.3998,0.0,0.015,430000,0.377
0.37883,0.0,0.014,431000,0.357
0.39882,0.0,0.013,432000,0.375
0.37778,0.0,0.021,433000,0.355
0.39123,0.0,0.012,434000,0.367
0.38215,0.0,0.01,435000,0.357
0.3913,0.0,0.013,436000,0.366
0.38816,0.0,0.018,437000,0.363
0.3984,0.0,0.016,438000,0.372
0.40202,0.0,0.016,439000,0.375
0.40967,0.0,0.019,440000,0.383
0.40229,0.0,0.017,441000,0.376
0.40045,0.0,0.014,442000,0.374
0.38443,0.0,0.015,443000,0.358
0.39565,0.0,0.017,444000,0.37
0.39678,0.0,0.015,445000,0.371
0.38331,0.0,0.014,446000,0.359
0.37756,0.0,0.02,447000,0.353
0.37887,0.0,0.021,448000,0.356
0.38747,0.0,0.017,449000,0.365
0.37887,0.0,0.021,450000,0.358
0.38737,0.0,0.017,451000,0.365
0.38181,0.0,0.02,452000,0.359
0.37792,0.0,0.016,453000,0.356
0.3743,0.0,0.015,454000,0.352
0.37104,0.0,0.014,455000,0.35
0.39699,0.0,0.015,456000,0.374
0.3865,0.0,0.011,457000,0.363
0.38183,0.0,0.017,458000,0.359
0.37114,0.0,0.012,459000,0.35
0.38093,0.0,0.017,460000,0.359
0.38509,0.0,0.015,461000,0.363
0.39036,0.0,0.022,462000,0.366
0.38242,0.0,0.024,463000,0.358
0.3715,0.0,0.014,464000,0.347
0.38525,0.0,0.02,465000,0.361
0.38681,0.0,0.015,466000,0.363
0.37557,0.0,0.01,467000,0.353
0.39531,0.0,0.015,468000,0.371
0.37874,0.0,0.017,469000,0.358
0.38492,0.0,0.016,470000,0.363
0.37922,0.0,0.021,471000,0.356
0.39225,0.0,0.015,472000,0.368
0.39237,0.0,0.014,473000,0.368
0.38134,0.0,0.016,474000,0.358
0.38161,0.0,0.022,475000,0.36
0.38976,0.0,0.019,476000,0.366
0.38611,0.0,0.018,477000,0.363
0.37518,0.0,0.013,478000,0.353
0.38366,0.0,0.016,479000,0.361
0.36618,0.0,0.023,480000,0.342
0.39628,0.0,0.021,481000,0.371
0.3943,0.0,0.02,482000,0.368
0.37002,0.0,0.022,483000,0.346
0.37284,0.0,0.023,484000,0.349
0.3876,0.0,0.024,485000,0.364
0.38585,0.0,0.025,486000,0.362
0.39127,0.0,0.031,487000,0.367
0.3841,0.0,0.023,488000,0.36
0.40206,0.0,0.02,489000,0.378
0.38186,0.0,0.017,490000,0.36
0.39547,0.0,0.019,491000,0.374
0.38586,0.0,0.026,492000,0.363
0.40904,0.0,0.019,493000,0.387
0.39181,0.0,0.02,494000,0.371
0.38024,0.0,0.021,495000,0.36
0.38183,0.0,0.016,496000,0.361
0.40147,0.0,0.018,497000,0.379
0.38759,0.0,0.02,498000,0.365
0.37316,0.0,0.017,499000,0.351
