avg_score,avg_score_no,avg_diff,step_idx,avg_winning,loss_train
0.45401,0.03901,0.015,92700,0.415,-0.058
0.45921,0.03921,0.025,93000,0.42,0.013
0.51373,0.03873,0.02,93300,0.475,-0.074
0.48214,0.03714,0.02,93600,0.445,0.019
0.48937,0.03937,0.035,93900,0.45,0.02
0.47039,0.04039,0.035,94200,0.43,-0.014
0.46501,0.04001,0.02,94500,0.425,-0.019
0.44288,0.03788,0.01,94800,0.405,-0.043
0.46463,0.03963,0.015,95100,0.425,-0.012
0.49013,0.04013,0.005,95400,0.45,-0.024
0.4755,0.0405,0.025,95700,0.435,0.019
0.46016,0.04016,0.02,96000,0.42,0.009
0.46582,0.04082,0.025,96300,0.425,0.022
0.47536,0.04036,0.025,96600,0.435,0.022
0.4705,0.0405,0.01,96900,0.43,-0.036
0.47621,0.04121,0.03,97200,0.435,0.004
0.48051,0.04051,0.03,97500,0.44,-0.017
0.49666,0.04166,0.015,97800,0.455,-0.031
0.48594,0.04094,0.015,98100,0.445,-0.013
0.50157,0.04157,0.02,98400,0.46,-0.017
0.45581,0.04081,0.01,98700,0.415,-0.017
0.48076,0.04076,0.015,99000,0.44,-0.026
0.45778,0.04278,0.03,99300,0.415,-0.0
0.47212,0.04212,0.015,99600,0.43,-0.054
0.47193,0.04193,0.03,99900,0.43,-0.005
0.47601,0.04101,0.02,100200,0.435,-0.064
0.4814,0.0414,0.005,100500,0.44,-0.057
0.49514,0.04014,0.02,100800,0.455,-0.049
0.50587,0.04087,0.0,101100,0.465,-0.022
0.47666,0.04166,0.015,101400,0.435,0.022
0.49524,0.04024,0.01,101700,0.455,0.013
0.46955,0.03955,0.025,102000,0.43,-0.022
0.46947,0.03947,0.015,102300,0.43,0.002
0.49525,0.04025,0.03,102600,0.455,-0.004
0.49035,0.04035,0.01,102900,0.45,-0.041
0.46501,0.04001,0.03,103200,0.425,-0.027
0.48395,0.03895,0.015,103500,0.445,-0.035
0.49924,0.03924,0.035,103800,0.46,-0.032
0.48894,0.03894,0.02,104100,0.45,-0.01
0.45202,0.03702,0.03,104400,0.415,0.0
0.50505,0.04005,0.015,104700,0.465,-0.009
0.49368,0.03868,0.015,105000,0.455,-0.025
0.50263,0.03763,0.015,105300,0.465,-0.029
0.50904,0.03904,0.025,105600,0.47,0.016
0.50031,0.04031,0.03,105900,0.46,-0.067
0.48881,0.03881,0.035,106200,0.45,0.015
0.485,0.04,0.015,106500,0.445,0.004
0.45894,0.03894,0.03,106800,0.42,-0.015
0.50572,0.04072,0.02,107100,0.465,0.014
0.51535,0.04035,0.025,107400,0.475,0.01
0.53,0.04,0.005,107700,0.49,-0.032
0.49338,0.03838,0.005,108000,0.455,-0.024
0.51553,0.04053,0.01,108300,0.475,-0.004
0.49935,0.03935,0.035,108600,0.46,-0.027
0.49486,0.03986,0.015,108900,0.455,-0.006
0.52008,0.04008,0.035,109200,0.48,-0.007
0.48779,0.03779,0.02,109500,0.45,0.027
0.50405,0.03905,0.01,109800,0.465,-0.029
0.494,0.039,0.035,110100,0.455,0.007
0.50303,0.03803,0.025,110400,0.465,-0.007
0.49259,0.03759,0.02,110700,0.455,-0.048
0.46663,0.03663,0.025,111000,0.43,-0.036
0.48966,0.03966,0.01,111300,0.45,0.028
0.46769,0.03769,0.025,111600,0.43,-0.019
0.50945,0.03945,0.005,111900,0.47,-0.069
0.5134,0.0384,0.015,112200,0.475,-0.059
0.49364,0.03864,0.025,112500,0.455,-0.002
0.50798,0.03798,0.02,112800,0.47,0.006
0.5083,0.0383,0.015,113100,0.47,0.021
0.48883,0.03883,0.015,113400,0.45,0.024
0.49436,0.03936,0.01,113700,0.455,-0.02
0.52373,0.03873,0.02,114000,0.485,-0.012
0.5177,0.0377,0.01,114300,0.48,-0.019
0.49953,0.03953,0.005,114600,0.46,0.048
0.51463,0.03963,0.01,114900,0.475,-0.015
0.47621,0.04121,0.01,115200,0.435,0.006
0.49804,0.03804,0.005,115500,0.46,-0.056
0.43979,0.03979,0.01,115800,0.4,0.004
0.48095,0.04095,-0.005,116100,0.44,-0.0
0.46977,0.03977,0.01,116400,0.43,-0.02
0.45406,0.03906,0.01,116700,0.415,0.006
0.48042,0.04042,0.03,117000,0.44,-0.033
0.47612,0.04112,0.015,117300,0.435,0.005
0.46576,0.04076,0.02,117600,0.425,0.019
0.44113,0.04113,0.015,117900,0.4,-0.018
0.44115,0.04115,0.01,118200,0.4,-0.019
0.45975,0.03975,0.025,118500,0.42,-0.127
0.44494,0.03994,0.025,118800,0.405,0.027
0.43026,0.04026,0.025,119100,0.39,-0.037
0.47064,0.04064,0.015,119400,0.43,-0.015
0.44162,0.04162,0.01,119700,0.4,-0.004
0.44611,0.04111,0.03,120000,0.405,0.015
0.47035,0.04035,0.015,120300,0.43,-0.057
0.50098,0.04098,0.02,120600,0.46,-0.01
0.46924,0.03924,0.01,120900,0.43,-0.032
0.47266,0.03766,0.005,121200,0.435,-0.02
0.48256,0.03756,0.025,121500,0.445,-0.031
0.49068,0.04068,0.015,121800,0.45,-0.038
0.48403,0.03903,0.02,122100,0.445,-0.023
0.48631,0.03631,0.015,122400,0.45,-0.057
0.46884,0.03884,0.025,122700,0.43,-0.011
0.51492,0.03992,0.015,123000,0.475,-0.089
0.47336,0.03836,0.015,123300,0.435,0.014
0.49423,0.03923,0.005,123600,0.455,-0.029
0.46866,0.03866,0.0,123900,0.43,0.01
0.47803,0.03803,0.02,124200,0.44,-0.022
0.4787,0.0387,0.025,124500,0.44,-0.028
0.48772,0.03772,0.02,124800,0.45,-0.02
0.49901,0.03901,0.005,125100,0.46,-0.007
0.47216,0.03716,0.03,125400,0.435,-0.023
0.50828,0.03828,0.025,125700,0.47,-0.005
0.52549,0.04049,0.015,126000,0.485,-0.017
0.4726,0.0376,0.015,126300,0.435,-0.007
0.45367,0.03867,0.01,126600,0.415,-0.053
0.46449,0.03949,0.035,126900,0.425,0.027
0.49431,0.03931,0.04,127200,0.455,-0.009
0.49959,0.03959,0.02,127500,0.46,-0.023
0.46464,0.03964,0.035,127800,0.425,-0.036
0.46981,0.03981,0.03,128100,0.43,0.018
0.46309,0.03809,0.0,128400,0.425,-0.062
0.45953,0.03953,0.03,128700,0.42,-0.03
0.45343,0.03843,0.045,129000,0.415,-0.022
0.45878,0.03878,0.045,129300,0.42,-0.004
0.46412,0.03912,0.025,129600,0.425,-0.03
0.47408,0.03908,0.03,129900,0.435,0.018
0.43324,0.03824,0.015,130200,0.395,0.013
0.4596,0.0396,0.02,130500,0.42,-0.032
0.44461,0.03961,0.025,130800,0.405,-0.007
0.4607,0.0407,0.01,131100,0.42,0.006
0.48067,0.04067,0.025,131400,0.44,-0.0
0.46416,0.03916,0.02,131700,0.425,-0.021
0.50011,0.04011,0.005,132000,0.46,-0.063
0.47325,0.03825,0.03,132300,0.435,-0.01
0.46995,0.03995,0.03,132600,0.43,0.003
0.45929,0.03929,0.015,132900,0.42,0.015
0.47931,0.03931,0.03,133200,0.44,0.023
0.41698,0.03698,0.025,133500,0.38,-0.038
0.47307,0.03807,0.03,133800,0.435,-0.028
0.47363,0.03863,0.03,134100,0.435,-0.002
0.47297,0.03797,0.01,134400,0.435,0.003
0.47412,0.03912,0.025,134700,0.435,-0.034
0.46858,0.03858,0.035,135000,0.43,-0.032
0.45742,0.03742,0.035,135300,0.42,-0.016
0.49959,0.03959,0.025,135600,0.46,-0.023
0.50375,0.03875,0.02,135900,0.465,-0.028
0.49199,0.03699,0.035,136200,0.455,0.001
0.49383,0.03883,0.025,136500,0.455,0.016
0.45366,0.03866,0.015,136800,0.415,-0.012
0.44856,0.03856,0.025,137100,0.41,-0.011
0.45722,0.03722,0.045,137400,0.42,-0.05
0.47283,0.03783,0.02,137700,0.435,-0.041
0.46351,0.03851,0.025,138000,0.425,-0.04
0.47479,0.03979,0.03,138300,0.435,-0.041
0.46794,0.03794,0.03,138600,0.43,0.009
0.49412,0.03912,0.015,138900,0.455,-0.013
0.45212,0.03712,0.025,139200,0.415,-0.008
0.51016,0.04016,0.02,139500,0.47,0.018
0.49397,0.03897,0.035,139800,0.455,-0.028
0.48214,0.03714,0.025,140100,0.445,-0.055
0.47307,0.03807,0.02,140400,0.435,-0.025
0.47306,0.03806,0.025,140700,0.435,-0.029
0.49348,0.03848,0.01,141000,0.455,-0.032
0.45785,0.03785,0.045,141300,0.42,-0.07
0.43698,0.03698,0.03,141600,0.4,-0.001
0.47899,0.03899,0.02,141900,0.44,-0.028
0.45793,0.03793,0.03,142200,0.42,-0.026
0.47677,0.03677,0.025,142500,0.44,-0.014
0.45633,0.03633,0.05,142800,0.42,0.012
0.47439,0.03439,0.04,143100,0.44,-0.014
0.53655,0.03655,0.04,143400,0.5,0.006
0.48097,0.03597,0.035,143700,0.445,-0.019
0.47029,0.03529,0.035,144000,0.435,0.004
0.47595,0.03595,0.035,144300,0.44,-0.014
0.47586,0.03586,0.03,144600,0.44,-0.001
0.49543,0.03543,0.035,144900,0.46,-0.006
0.51206,0.03706,0.045,145200,0.475,-0.002
0.5172,0.0372,0.04,145500,0.48,-0.027
0.47837,0.03837,0.045,145800,0.44,-0.02
0.47803,0.03803,0.045,146100,0.44,-0.003
