avg_score,loss_train,step_idx,avg_diff,avg_winning
0.5834,-0.004,417000,0.024,0.554
0.58809,-0.002,418000,0.006,0.558
0.61388,-0.016,419000,0.001,0.583
0.61387,-0.008,420000,0.018,0.584
0.60222,-0.007,421000,0.001,0.574
0.60748,-0.013,422000,0.011,0.579
0.60983,-0.002,423000,0.026,0.579
0.61827,-0.003,424000,0.007,0.587
0.62342,-0.009,425000,0.012,0.591
0.6095,-0.02,426000,0.009,0.58
0.62347,-0.014,427000,0.019,0.594
0.62899,-0.018,428000,0.022,0.6
0.62092,0.002,429000,0.016,0.591
0.60908,-0.011,430000,0.008,0.577
0.61576,-0.005,431000,0.008,0.586
0.59918,-0.011,432000,0.01,0.569
0.5987,-0.024,433000,0.015,0.568
0.60477,-0.018,434000,0.008,0.575
0.61634,-0.012,435000,0.009,0.585
0.56386,-0.016,436000,0.009,0.54
0.60367,-0.003,437000,0.007,0.574
0.59131,-0.012,438000,0.009,0.561
0.5971,-0.007,439000,0.009,0.566
0.59142,-0.008,440000,0.002,0.56
0.59613,-0.012,441000,0.013,0.565
0.61492,-0.01,442000,0.022,0.584
0.59914,-0.019,443000,0.017,0.57
0.60163,-0.014,444000,0.008,0.571
0.5835,0.007,445000,0.011,0.554
0.58058,-0.004,446000,0.014,0.551
0.5872,-0.009,447000,0.019,0.557
0.59106,0.006,448000,0.016,0.561
0.56665,-0.003,449000,0.017,0.536
0.575,-0.003,450000,0.021,0.545
0.56906,-0.004,451000,0.019,0.541
0.58345,0.0,452000,0.016,0.555
0.5927,0.005,453000,0.017,0.564
0.58195,-0.015,454000,0.021,0.554
0.59002,-0.01,455000,0.01,0.56
0.59769,-0.018,456000,0.008,0.567
0.59711,-0.012,457000,0.005,0.567
0.60966,-0.007,458000,0.017,0.58
0.60545,-0.007,459000,0.018,0.578
0.60226,-0.001,460000,0.015,0.577
0.6203,-0.009,461000,0.014,0.593
0.62604,-0.0,462000,0.006,0.597
0.59256,-0.001,463000,0.019,0.563
0.60614,-0.002,464000,0.003,0.575
0.62772,-0.012,465000,0.01,0.598
