avg_diff,avg_score,avg_winning,loss_train,step_idx,avg_score_no
0.03,0.52651,0.485,-0.007,105900,0.04151
0.025,0.49655,0.455,0.003,106200,0.04155
0.025,0.49259,0.455,-0.065,106500,0.03759
0.02,0.47276,0.435,-0.016,106800,0.03776
0.005,0.47701,0.44,-0.021,107100,0.03701
0.02,0.47912,0.44,0.005,107400,0.03912
0.01,0.51568,0.475,-0.011,107700,0.04068
0.025,0.51985,0.48,-0.004,108000,0.03985
0.005,0.52362,0.485,-0.016,108300,0.03862
0.015,0.51454,0.475,-0.036,108600,0.03954
0.015,0.50485,0.465,0.006,108900,0.03985
0.035,0.50843,0.47,0.018,109200,0.03843
0.02,0.48864,0.45,-0.032,109500,0.03864
0.02,0.50485,0.465,0.037,109800,0.03985
0.015,0.50989,0.47,-0.012,110100,0.03989
0.005,0.49975,0.46,-0.034,110400,0.03975
0.005,0.48837,0.45,-0.042,110700,0.03837
0.015,0.47832,0.44,-0.031,111000,0.03832
0.02,0.42244,0.385,0.002,111300,0.03744
0.02,0.40353,0.365,-0.008,111600,0.03853
0.005,0.42889,0.39,-0.025,111900,0.03889
0.01,0.44311,0.405,-0.028,112200,0.03811
0.015,0.46989,0.43,-0.04,112500,0.03989
0.04,0.43951,0.4,0.032,112800,0.03951
0.02,0.43446,0.395,0.003,113100,0.03946
0.025,0.46483,0.425,-0.03,113400,0.03983
0.01,0.48512,0.445,0.001,113700,0.04012
0.025,0.47606,0.435,-0.014,114000,0.04106
0.025,0.43481,0.395,-0.019,114300,0.03981
0.03,0.45718,0.415,-0.014,114600,0.04218
0.04,0.45036,0.41,-0.032,114900,0.04036
0.035,0.45066,0.41,-0.036,115200,0.04066
0.025,0.4744,0.435,-0.037,115500,0.0394
0.045,0.45559,0.415,-0.006,115800,0.04059
0.015,0.47372,0.435,0.014,116100,0.03872
0.015,0.50045,0.46,-0.034,116400,0.04045
0.01,0.5058,0.465,0.022,116700,0.0408
0.02,0.51569,0.475,-0.038,117000,0.04069
0.01,0.50442,0.465,-0.039,117300,0.03942
0.02,0.50456,0.465,0.002,117600,0.03956
0.02,0.43398,0.395,-0.035,117900,0.03898
0.025,0.53104,0.49,0.006,118200,0.04104
