avg_diff,avg_winning,loss_train,step_idx,avg_score
0.011,0.539,-0.015,406000,0.56854
0.007,0.545,-0.009,407000,0.57282
0.005,0.555,0.001,408000,0.58583
-0.003,0.559,-0.007,409000,0.58917
-0.005,0.574,0.005,410000,0.60594
0.012,0.558,-0.012,411000,0.59043
0.005,0.56,0.003,412000,0.59206
0.008,0.547,-0.008,413000,0.57992
0.017,0.562,-0.01,414000,0.5956
0.005,0.534,-0.008,415000,0.56584
0.022,0.543,-0.008,416000,0.57378
0.01,0.576,-0.0,417000,0.60919
-0.004,0.573,0.002,418000,0.60602
-0.015,0.559,-0.008,419000,0.59203
0.013,0.562,-0.016,420000,0.59309
-0.002,0.557,0.011,421000,0.58814
0.004,0.555,-0.009,422000,0.58766
-0.007,0.577,-0.005,423000,0.60963
0.0,0.584,-0.009,424000,0.61805
0.013,0.572,-0.016,425000,0.60468
0.001,0.555,-0.007,426000,0.58843
0.017,0.557,-0.011,427000,0.58751
0.019,0.571,0.003,428000,0.60128
0.017,0.547,-0.008,429000,0.5778
0.012,0.561,-0.001,430000,0.59366
0.029,0.549,-0.01,431000,0.58103
0.013,0.559,-0.01,432000,0.59098
0.022,0.562,-0.008,433000,0.59418
0.01,0.576,-0.008,434000,0.60925
0.011,0.579,-0.014,435000,0.61236
0.013,0.58,-0.013,436000,0.61296
0.009,0.572,-0.015,437000,0.60466
0.026,0.537,-0.012,438000,0.56696
0.018,0.521,-0.003,439000,0.54874
-0.001,0.553,0.003,440000,0.58386
0.026,0.542,-0.008,441000,0.57137
-0.003,0.567,0.003,442000,0.59877
0.012,0.56,-0.011,443000,0.59158
-0.001,0.589,-0.004,444000,0.62206
-0.003,0.584,-0.01,445000,0.61773
0.004,0.568,-0.011,446000,0.60144
0.011,0.579,-0.006,447000,0.61305
0.007,0.584,-0.002,448000,0.61916
0.014,0.547,-0.007,449000,0.5794
0.023,0.55,-0.015,450000,0.58288
0.006,0.563,-0.006,451000,0.59648
0.037,0.518,-0.005,452000,0.54921
0.024,0.546,-0.001,453000,0.57816
0.016,0.546,-0.011,454000,0.57914
0.019,0.554,-0.01,455000,0.58648
0.02,0.563,-0.002,456000,0.59675
0.001,0.585,-0.004,457000,0.61861
0.01,0.561,-0.002,458000,0.5924
0.026,0.572,-0.004,459000,0.60407
