avg_winning,step_idx,avg_diff,avg_score,loss_train
0.555,354000,0.036,0.58663,-0.019
0.547,355000,0.036,0.57362,-0.001
0.567,356000,0.038,0.59486,-0.004
0.566,357000,0.039,0.59627,0.001
0.559,358000,0.027,0.59252,0.014
0.546,359000,0.036,0.5805,-0.001
0.539,360000,0.035,0.56474,-0.009
0.534,361000,0.032,0.55731,0.018
0.553,362000,0.035,0.58144,0.011
0.558,363000,0.04,0.58649,0.017
0.539,364000,0.04,0.57156,-0.005
0.555,365000,0.035,0.58616,-0.004
0.553,366000,0.039,0.58343,-0.007
0.542,367000,0.039,0.57054,-0.006
0.558,368000,0.034,0.58939,0.002
0.555,369000,0.039,0.58538,0.001
0.532,370000,0.03,0.55931,-0.007
0.541,371000,0.034,0.57219,-0.003
0.557,372000,0.03,0.59038,0.008
0.552,373000,0.037,0.58182,-0.003
0.536,374000,0.042,0.56728,-0.013
0.538,375000,0.023,0.57253,-0.002
0.553,376000,0.033,0.58218,-0.017
0.553,377000,0.034,0.58204,0.003
0.556,378000,0.036,0.58485,-0.001
0.555,379000,0.024,0.58686,0.002
0.541,380000,0.024,0.57286,-0.001
0.535,381000,0.033,0.56734,0.01
0.524,382000,0.035,0.55292,-0.01
0.551,383000,0.038,0.58361,0.009
0.523,384000,0.027,0.55499,-0.003
0.526,385000,0.035,0.5575,-0.008
0.517,386000,0.025,0.55016,-0.001
0.527,387000,0.021,0.55877,0.008
0.534,388000,0.042,0.55953,0.01
0.531,389000,0.037,0.56008,-0.009
0.545,390000,0.035,0.57207,-0.027
0.543,391000,0.04,0.5734,0.002
0.546,392000,0.031,0.57236,-0.01
0.534,393000,0.039,0.56615,-0.01
0.54,394000,0.042,0.57283,-0.018
0.488,395000,0.035,0.49478,-0.008
0.546,396000,0.03,0.57191,-0.004
0.519,397000,0.036,0.55156,0.005
0.532,398000,0.032,0.55967,0.006
0.54,399000,0.037,0.56712,-0.008
0.528,400000,0.031,0.55644,0.006
0.536,401000,0.031,0.56431,-0.015
0.527,402000,0.028,0.55931,0.005
0.512,403000,0.035,0.53974,0.005
0.527,404000,0.028,0.55558,0.002
0.54,405000,0.023,0.57228,0.005
0.543,406000,0.032,0.57219,-0.017
0.53,407000,0.03,0.55995,-0.011
0.522,408000,0.033,0.54907,-0.002
0.533,409000,0.034,0.56475,-0.001
0.544,410000,0.027,0.57137,-0.001
0.553,411000,0.031,0.57575,-0.006
0.542,412000,0.037,0.56835,0.013
0.538,413000,0.032,0.56659,0.014
0.556,414000,0.021,0.58745,0.0
0.553,415000,0.03,0.58502,-0.002
0.534,416000,0.029,0.56584,-0.012
0.514,417000,0.029,0.54272,0.005
0.507,418000,0.036,0.53692,-0.004
0.492,419000,0.028,0.52299,0.003
0.498,420000,0.032,0.52969,-0.023
0.499,421000,0.028,0.53103,-0.004
0.528,422000,0.031,0.56174,-0.017
0.523,423000,0.022,0.55613,-0.002
0.513,424000,0.039,0.53977,-0.006
0.543,425000,0.027,0.57421,0.012
0.524,426000,0.035,0.55254,-0.009
0.529,427000,0.038,0.56117,0.008
0.507,428000,0.039,0.53625,0.002
0.508,429000,0.037,0.53553,-0.011
0.517,430000,0.04,0.54289,-0.026
0.517,431000,0.037,0.54306,-0.004
0.507,432000,0.042,0.53068,-0.009
0.508,433000,0.032,0.53691,-0.0
0.512,434000,0.034,0.54105,0.016
0.535,435000,0.032,0.56186,-0.005
0.506,436000,0.04,0.53879,0.012
0.515,437000,0.04,0.54284,0.006
0.535,438000,0.025,0.56696,0.002
0.502,439000,0.012,0.53391,-0.008
0.488,440000,0.03,0.51602,-0.006
0.545,441000,0.027,0.57636,-0.004
0.531,442000,0.031,0.56285,-0.014
0.52,443000,0.036,0.547,-0.008
